aceB	BBa_K1163400	100.000	101	0	0	1	101	150	250	3.19e-049	187
aceB	BBa_K1163101	100.000	101	0	0	1	101	150	250	3.19e-049	187
aceB	BBa_M36699	96.040	101	4	0	1	101	80	180	1.49e-042	165
aceB	BBa_M36707	95.238	63	3	0	1	63	80	142	4.28e-023	100
ahpC	BBa_K362001	100.000	99	0	0	1	99	902	1000	4.13e-048	183
ahpC	BBa_K1104207	100.000	99	0	0	1	99	10	108	4.13e-048	183
ahpC	BBa_K1104206	100.000	99	0	0	1	99	71	169	4.13e-048	183
ahpC	BBa_K1104204	100.000	99	0	0	1	99	355	453	4.13e-048	183
ahpC	BBa_K1104203	100.000	99	0	0	1	99	902	1000	4.13e-048	183
ahpC	BBa_K1104208	100.000	50	0	0	1	50	71	120	7.15e-021	93.5
alkA	BBa_J100249	100.000	51	0	0	21	71	10	60	1.99e-021	95.3
ampC	BBa_J100232	100.000	48	0	0	29	76	4	51	9.25e-020	89.8
ansB	BBa_K283031	100.000	89	0	0	13	101	3	91	1.49e-042	165
ansB	BBa_K283018	100.000	89	0	0	13	101	3	91	1.49e-042	165
ansBP2	BBa_K283018	100.000	77	0	0	1	77	30	106	7.00e-036	143
ansBP2	BBa_K283031	100.000	76	0	0	1	76	30	105	2.52e-035	141
araBAD	BBa_K845001	100.000	101	0	0	1	101	316	416	3.19e-049	187
araBAD	BBa_K906007	100.000	89	0	0	1	89	211	299	1.49e-042	165
araBAD	BBa_K821004	100.000	89	0	0	1	89	1232	1320	1.49e-042	165
araBAD	BBa_K607040	100.000	89	0	0	1	89	95	7	1.49e-042	165
araBAD	BBa_K2457000	100.000	89	0	0	1	89	1179	1267	1.49e-042	165
araBAD	BBa_K2442101	100.000	89	0	0	1	89	213	301	1.49e-042	165
araBAD	BBa_K2003030	100.000	89	0	0	1	89	1116	1204	1.49e-042	165
araBAD	BBa_K1985016	100.000	89	0	0	1	89	1116	1204	1.49e-042	165
araBAD	BBa_K1893015	100.000	89	0	0	1	89	1253	1341	1.49e-042	165
